Rectangle Coordinates: [Top-Left: (2176, 314), Bottom-Right: (2521, 336)]
Rectangle Coordinates: [Top-Left: (1829, 314), Bottom-Right: (2173, 341)]
Rectangle Coordinates: [Top-Left: (1481, 314), Bottom-Right: (1827, 338)]
Rectangle Coordinates: [Top-Left: (1135, 314), Bottom-Right: (1479, 340)]
Rectangle Coordinates: [Top-Left: (786, 314), Bottom-Right: (1132, 340)]
Rectangle Coordinates: [Top-Left: (439, 314), Bottom-Right: (784, 338)]
Rectangle Coordinates: [Top-Left: (91, 314), Bottom-Right: (437, 340)]
Rectangle Coordinates: [Top-Left: (17, 307), Bottom-Right: (50, 365)]
Rectangle Coordinates: [Top-Left: (7, 284), Bottom-Right: (50, 314)]
Rectangle Coordinates: [Top-Left: (91, 278), Bottom-Right: (2521, 312)]
Rectangle Coordinates: [Top-Left: (354, 249), Bottom-Right: (374, 272)]
Rectangle Coordinates: [Top-Left: (2412, 227), Bottom-Right: (2515, 262)]
Rectangle Coordinates: [Top-Left: (282, 227), Bottom-Right: (341, 262)]
Rectangle Coordinates: [Top-Left: (100, 227), Bottom-Right: (160, 262)]
Rectangle Coordinates: [Top-Left: (277, 222), Bottom-Right: (347, 269)]
Rectangle Coordinates: [Top-Left: (167, 222), Bottom-Right: (272, 267)]
Rectangle Coordinates: [Top-Left: (96, 222), Bottom-Right: (166, 268)]
Rectangle Coordinates: [Top-Left: (2151, 218), Bottom-Right: (2214, 272)]
Rectangle Coordinates: [Top-Left: (354, 218), Bottom-Right: (374, 242)]
Rectangle Coordinates: [Top-Left: (2217, 216), Bottom-Right: (2523, 273)]
Rectangle Coordinates: [Top-Left: (393, 216), Bottom-Right: (2149, 273)]
Rectangle Coordinates: [Top-Left: (90, 216), Bottom-Right: (352, 273)]
Rectangle Coordinates: [Top-Left: (87, 209), Bottom-Right: (1889, 1456)]
Rectangle Coordinates: [Top-Left: (1894, 189), Bottom-Right: (2113, 211)]
Rectangle Coordinates: [Top-Left: (2172, 186), Bottom-Right: (2225, 210)]
